gene,allele,strain
ins-27,ok2474,QL13
ins-23,tm1875,QL14
ins-34,tm3095,QL15
ins-26,tm1983,QL16
ins-30,ok2343,QL17
ins-20,tm1947,QL18
ins-12,tm2918,QL19
ins-5,tm2560,QL24
ins-38,tm2632,QL20
ins-29,tm1922,QL21
ins-10,tm3498,QL22
ins-11,tm1053,QL23
ins-17,tm0790,QL25
ins-9,tm3618,QL26
ins-4,tm3620,QL27
ins-3,tm3608,QL28
ins-15,ok3444,QL45
ins-16,ok2919,QL53
ins-22,ok3616,QL46
ins-25,ok2773,QL47
ins-28,ok2722,QL48
ins-31,ok3543,QL49
ins-33,tm2988,QL50
ins-35,ok3297,QL51
ins-8,tm4144,QL52
ins-2,tm4467,QL76
ins-1,nr2091,QZ80
ins-6,tm2416,QZ81
ins-7,tm2001,QZ126
ins-13,tm4856,QL127
ins-14,tm4886,QL131
ins-18,tm0339,QZ104
ins-19,tm5155,QL188
ins-21,tm5180,QL189
daf-28,tm2308,QZ83
