Strain in files,,
tsp-17(tm5169), 2012_08_29__15_36_31 || 2012_08_31__14_35_10,
IL2 cam RB557, 2015_09_03__17_21_34 || 2015_09_11__12_05_17,
AQ3490, 2016_01_15__17_01_25 || 2016_01_15__17_21_59,
lim-4 (ky403), 2012_02_10__12_38_12 || 2012_02_10__12_41_19,
PLG118, 2015_02_06__12_11_09 || 2015_03_20__10_45_24,
flp-9 (yu36) [flp-97], 2013_03_21__10_45_44 || 2013_03_21__12_52_57,
AQ2000, 2011_05_19__16_42_00 || 2011_05_25__10_00_35,
flp-1 (ok2811), 2013_03_26__09_09_00 || 2013_03_26__11_42_03,
RB2005 cameleon IL2 2, RB2005 cameleon IL2 2 on food R_2015_08_20__17_24_05___5___6,
ocr4;ocr2;ocr1, ocr4;ocr2;ocr1 on food R_2010_03_25__15_23_13___2___8,
AQ63, 2011_06_14__10_52_10 || 2011_08_09__12_58,
LR342.2, 2015_09_03__17_21_36 || 2015_11_06__13_59_45,
ocr-4 egl-1, ocr-4 egl-1 on food R_2015_05_01__14_48_56___4___1,
AQ2613, AQ2613 on food L_2011_05_25__10_03_41___8___1,
flp-15 (ko1963), 2013_02_28__11_03_54 || 2013_02_28__13_00_08,
flp-10 (yu35), flp-10 (yu35) on food R_2013_03_26__10_28_54___8___5,
"flp-4 (yu355, yu1599)",, 2013_03_26__11_48_36 || 2013_03_26__12_42_01
IL2 cam asic-2 1, 2015_09_04__13_12_47 || 2015_09_04__13_54_09,
flp-28 (ko2121), 2013_04_25__10_24_59 || 2013_04_25__12_31_51,
flp-10 (pk367), 2013_03_21__10_52_15 || 2013_03_26__11_28_38,
tm1010, 2016_02_03__12_30_07 || 2016_02_24__16_37_54,
AQ3590, 2016_01_14__15_18_28 || 2016_02_04__11_31_17,
acr-20 (dpy20), acr-20 (dpy20) on food R_2010_02_19__11_25_07__7,
flp-12 (n4092), 2013_04_25__10_11_11 || 2013_04_25__12_31_56,
flp-7, 2013_04_25__10_11_33 || 2013_04_25__12_11_50,
t28f4.2 (ok289)I, 2015_02_06__12_30_50 || 2015_02_06__13_11_03,
flp-4 (ko1692), 2013_03_26__09_08_47 || 2013_03_26__11_08_24,
T28F2.7 (ok2657)I, T28F2.7 (ok2657)I on food R_2015_02_06__12_31_43___4___4,
mec-14 (v55), 2010_11_18__12_10 || 2010_11_18__12_37,
ins-3 (tm3620), ins-3 (tm3620) on food L_2012_08_03__11_40_50___4___5,
