base_name,channel,strain,focus
Avelino_16112015_2110,Ch1,unc-9,19
Avelino_16112015_2110,Ch2,unc-9,20.1
Avelino_16112015_2110,Ch3,WT,18.5
Avelino_16112015_2110,Ch4,tpr-4,19.8
Avelino_16112015_2110,Ch5,tpr-4,20
Avelino_16112015_2110,Ch6,WT,20.1
Avelino_17112015_2100,Ch1,tpr-4,19.6
Avelino_17112015_2100,Ch2,tpr-4,20.1
Avelino_17112015_2100,Ch3,unc-9,18.2
Avelino_17112015_2100,Ch4,WT,20.5
Avelino_17112015_2100,Ch5,unc-9,20
Avelino_17112015_2100,Ch6,WT,20.3
Avelino_18112015_2154,Ch1,tpr-4,19
Avelino_18112015_2154,Ch2,tpr-4,20
Avelino_18112015_2154,Ch3,unc-9,18.5
Avelino_18112015_2154,Ch4,WT,20.2
Avelino_20112015_1810,Ch1,tpr-4,19
Avelino_20112015_1810,Ch2,WT,20
Avelino_20112015_1810,Ch3,WT,18.5
Avelino_20112015_1810,Ch4,tpr-4,20.2
Avelino_20112015_1810,Ch5,tpr-4,20
Avelino_20112015_1810,Ch6,WT,20.3
Avelino_23112015_2340,Ch1,WT,19
Avelino_23112015_2340,Ch2,tpr-4,20.8
Avelino_23112015_2340,Ch3,WT,19
Avelino_23112015_2340,Ch4,tpr-4,20
Avelino_23112015_2340,Ch5,WT,20
Avelino_23112015_2340,Ch6,tpr-4,20.4
Avelino_26112015_1930,Ch1,WT,19
Avelino_26112015_1930,Ch2,WT,20.8
Avelino_26112015_1930,Ch3,unc-9,19
Avelino_26112015_1930,Ch4,unc-9,20
Avelino_26112015_1930,Ch5,unc-9,20
Avelino_26112015_1930,Ch6,tpr-4,20.4
