,base_name,date,datetime,developmental_stage,full_name,is_manual
1,15_07_07_C1_overnt_Ch1_07072015_160917,2015-07-07,16:09:17,L1_Early,/Users/ajaver/Desktop/Videos/pratheeban/Results/L1_Early/15_07_07/15_07_07_C1_overnt_Ch1_07072015_160917_features.hdf5,False
3,15_07_07_earlyL1_B1_Ch1_07072015_141510,2015-07-07,14:15:10,L1_Early,/Users/ajaver/Desktop/Videos/pratheeban/Results/L1_Early/15_07_07/15_07_07_earlyL1_B1_Ch1_07072015_141510_features.hdf5,False
5,15_07_07_earlyL1_Ch1_07072015_111943,2015-07-07,11:19:43,L1_Early,/Users/ajaver/Desktop/Videos/pratheeban/Results/L1_Early/15_07_07/15_07_07_earlyL1_Ch1_07072015_111943_features.hdf5,False
6,15_07_08_D_earlyL1_Ch1_08072015_182942,2015-07-08,18:29:42,L1_Early,/Users/ajaver/Desktop/Videos/pratheeban/Results/L1_Early/15_07_08/15_07_08_D_earlyL1_Ch1_08072015_182942_features.hdf5,False
8,15_07_13_E_earlyL1_Ch1_13072015_113051,2015-07-13,11:30:51,L1_Early,/Users/ajaver/Desktop/Videos/pratheeban/Results/L1_Early/15_07_13/15_07_13_E_earlyL1_Ch1_13072015_113051_features.hdf5,False
10,15_07_13_G_earlyL1_Ch1_13072015_173212,2015-07-13,17:32:12,L1_Early,/Users/ajaver/Desktop/Videos/pratheeban/Results/L1_Early/15_07_13/15_07_13_G_earlyL1_Ch1_13072015_173212_features.hdf5,False
12,N3_earlyL1_2.5_Ch1_23062016_125904,2016-06-23,12:59:04,L1_Early,/Users/ajaver/Desktop/Videos/pratheeban/Results/L1_Early/16_06_23/N3_earlyL1_2.5_Ch1_23062016_125904_features.hdf5,False
13,Q3_earlyL1_2.0_Ch1_08072016_125137,2016-07-08,12:51:37,L1_Early,/Users/ajaver/Desktop/Videos/pratheeban/Results/L1_Early/16_07_08/Q3_earlyL1_2.0_Ch1_08072016_125137_features.hdf5,False
14,R3_earlyL1_2.0_Ch1_08072016_163718,2016-07-08,16:37:18,L1_Early,/Users/ajaver/Desktop/Videos/pratheeban/Results/L1_Early/16_07_08/R3_earlyL1_2.0_Ch1_08072016_163718_features.hdf5,False
15,S3_earlyL1_2.0_Ch1_12072016_193218,2016-07-12,19:32:18,L1_Early,/Users/ajaver/Desktop/Videos/pratheeban/Results/L1_Early/16_07_12/S3_earlyL1_2.0_Ch1_12072016_193218_features.hdf5,False
16,W3_earlyL1_2.0_Ch1_20072016_130640,2016-07-20,13:06:40,L1_Early,/Users/ajaver/Desktop/Videos/pratheeban/Results/L1_Early/16_07_20/W3_earlyL1_2.0_Ch1_20072016_130640_features.hdf5,False
17,X3_earlyL1_2.0_Ch1_20072016_161147,2016-07-20,16:11:47,L1_Early,/Users/ajaver/Desktop/Videos/pratheeban/Results/L1_Early/16_07_20/X3_earlyL1_2.0_Ch1_20072016_161147_features.hdf5,False
18,Z3_earlyL1_2.0_Ch1_22072016_154908,2016-07-22,15:49:08,L1_Early,/Users/ajaver/Desktop/Videos/pratheeban/Results/L1_Early/16_07_22/Z3_earlyL1_2.0_Ch1_22072016_154908_features.hdf5,False
20,15_07_14_J_lateL1_Ch1_15072015_083805,2015-07-15,08:38:05,L1_Late,/Users/ajaver/Desktop/Videos/pratheeban/Results/L1_Late/15_07_15/15_07_14_J_lateL1_Ch1_15072015_083805_features.hdf5,False
22,15_07_15_L_lateL1_Ch1_16072015_085152,2015-07-16,08:51:52,L1_Late,/Users/ajaver/Desktop/Videos/pratheeban/Results/L1_Late/15_07_16/15_07_15_L_lateL1_Ch1_16072015_085152_features.hdf5,False
23,15_07_20_P_lateL1_Ch1_21072015_082841,2015-07-21,08:28:41,L1_Late,/Users/ajaver/Desktop/Videos/pratheeban/Results/L1_Late/15_07_21/15_07_20_P_lateL1_Ch1_21072015_082841_features.hdf5,False
25,15_07_22_U_lateL1_Ch1_23072015_083043,2015-07-23,08:30:43,L1_Late,/Users/ajaver/Desktop/Videos/pratheeban/Results/L1_Late/15_07_23/15_07_22_U_lateL1_Ch1_23072015_083043_features.hdf5,False
26,15_07_22_V_lateL1_Ch1_23072015_104115,2015-07-23,10:41:15,L1_Late,/Users/ajaver/Desktop/Videos/pratheeban/Results/L1_Late/15_07_23/15_07_22_V_lateL1_Ch1_23072015_104115_features.hdf5,False
27,15_07_23_X_lateL1_Ch1_24072015_095447,2015-07-24,09:54:47,L1_Late,/Users/ajaver/Desktop/Videos/pratheeban/Results/L1_Late/15_07_24/15_07_23_X_lateL1_Ch1_24072015_095447_features.hdf5,False
28,M3_lateL1_2.5_Ch1_23062016_105313,2016-06-23,10:53:13,L1_Late,/Users/ajaver/Desktop/Videos/pratheeban/Results/L1_Late/16_06_23/M3_lateL1_2.5_Ch1_23062016_105313_features.hdf5,False
30,P3_lateL1_2.0_Ch1_07072016_182803,2016-07-07,18:28:03,L1_Late,/Users/ajaver/Desktop/Videos/pratheeban/Results/L1_Late/16_07_07/P3_lateL1_2.0_Ch1_07072016_182803_features.hdf5,False
31,G4_LateL1_2.0_Ch1_02082016_102854,2016-08-02,10:28:54,L1_Late,/Users/ajaver/Desktop/Videos/pratheeban/Results/L1_Late/16_08_02/G4_LateL1_2.0_Ch1_02082016_102854_features.hdf5,False
