Date,L1_Early,L1_Late,L2,L3,L4,New_Adult,Old_Adult
07-Jul-15,ABC x2,,,,,,
08-Jul-15,D x2,,,ABC x2,Ax2,,
13-Jul-15,EFG x2,,,,,,
14-Jul-15,,,,,,,
15-Jul-15,,J x2,,,,G1,
16-Jul-15,,L x2,,Kx2,,J x1.25,
17-Jul-15,,,,M4,,K x1.25,Jx1
18-Jul-15,,,,,,,
21-Jul-15,Q,P x2,P,,,,
22-Jul-15,,,T,,Q x2,,
23-Jul-15,,UV x2,UV x2,,,,
24-Jul-15,,X x2,WXx2,,,,
30-Jul-15,,,C25,C2 x2,,,
11-Aug-15,,,D2 x2,,,,
12-Aug-15,,,,,E2x2,D2x2,
13-Aug-15,,,,,F2 x1.25,,E27 x1.25
14-Aug-15,,,,,,G2 x1.25,F2 x1.25
26-Aug-15,,,,,,,
27-Aug-15,,,,,,I2,
17-Sep-15,,,,K2L2 x2,,,
23-Sep-15,,,,,N2 x1.25,M2,
24-Sep-15,,,,,O2 x1.25,,N2 x1.25
22-Jun-16,,,,,L3x1.25  - poor segmentation because of condensation,,
23-Jun-16,N3x2.5,M3x2.5,M3x2,,,,
24-Jun-16,,,,O3x1.6,,,
07-Jul-16,P3x2.5,P3x2,,,,,
08-Jul-16,"Q3x2, R3x2",,,P3x1.6,,,
11-Jul-16,,,,,,,R3x1 - poor video because of lots of high contrast worm tracks. Reanalysed with higher threshold - better.
12-Jul-16,S3x2 - not a great video. Worms blurred in places. ,,,,,,
14-Jul-16,,,,,,S3x1  - won't analyse.,S3x1
15-Jul-16,,,"T3x2, U3x2",,,,
20-Jul-16,"W3x2, X3x2",,,,,V3x1 - won't analyse,V3x1
22-Jul-16,Z3x2,,,,Y3x1.25 ,Y3x1,W3 x1
27-Jul-16,,,,,,A4x1,A4x1
28-Jul-16,,,,"C4x1.6, D4x1.6",,,
29-Jul-16,,,F4x2,E4x1.6 - looks smaller than other L3 videos,,D4x1,
02-Aug-16,,"G4x2, H4x2",G4x2,,,,
03-Aug-16,,J4x2 - blurry,I4x2,,,,
04-Aug-16,,N4x2,,J4x1.6,,,
10-Aug-16,,Q4x2,,,,,
11-Aug-16,,,,,Q4 x1.25,,
07-Sep-16,,,,,,C5 x1,
08-Sep-16,,,,,D5 x1.25,,
